experiment_id,benchmark_name,M,instance_id,n_sys,d,state_count,state_dim,rank_tol,rank,expected_rank,rank_equals_M,lambda_min,lambda_max,gram_trace,condition_number,max_offdiag_abs,pairwise_fidelity_mean,pairwise_fidelity_max,benchmark_seed,data_seed,ensemble_seed,benchmark_internal_seed,existing_gram_rank_numeric,rank_matches_existing,state_generation,stateprep_operation,stateprep_decomposition,label_payload
weyl_heisenberg,Weyl-Heisenberg,7,0,3,8,7,8,1e-10,7,7,True,0.00041671618034879755,2.1161900711522037,6.999999523365581,5078.252707588464,0.95674149718952,0.09751064416818248,0.9153542924444442,307000,607000,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[5, 0], [5, 6], [6, 5], [1, 7], [2, 4], [4, 5], [6, 0]]}"
weyl_heisenberg,Weyl-Heisenberg,7,1,3,8,7,8,1e-10,7,7,True,0.06217001154204885,2.3563770347628274,6.999999721463853,37.902148902917375,0.7814240424072253,0.09149248057472763,0.610623534052049,307001,607001,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[1, 0], [4, 5], [5, 0], [5, 2], [1, 4], [6, 6], [3, 4]]}"
weyl_heisenberg,Weyl-Heisenberg,7,2,3,8,7,8,1e-10,7,7,True,0.021897560211270043,2.5647614897864144,7.000000135278008,117.12544525697459,0.8886035318669273,0.11471825094948374,0.7896162368463773,307002,607002,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[2, 3], [0, 3], [6, 5], [0, 2], [7, 4], [5, 3], [3, 0]]}"
weyl_heisenberg,Weyl-Heisenberg,7,3,3,8,7,8,1e-10,7,7,True,0.06074430931466546,2.6707288734930983,6.9999998613105525,43.96673373399121,0.5346437292425219,0.12039095603925491,0.28584391721835106,307003,607003,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[4, 4], [4, 2], [5, 0], [5, 3], [0, 5], [7, 4], [0, 3]]}"
weyl_heisenberg,Weyl-Heisenberg,7,4,3,8,7,8,1e-10,7,7,True,0.05365824502270619,2.1912545249473423,6.9999996435922816,40.837238042729204,0.5149313689573718,0.07490500360608104,0.26515431473631296,307004,607004,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[1, 2], [1, 6], [3, 4], [6, 4], [2, 7], [7, 7], [6, 1]]}"
weyl_heisenberg,Weyl-Heisenberg,7,5,3,8,7,8,1e-10,7,7,True,0.015528785620548106,2.9747064481554975,7.000000256899053,191.56079044708338,0.8151460086634593,0.16705083577610333,0.6644630154399686,307005,607005,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[3, 4], [4, 0], [3, 3], [3, 2], [3, 7], [7, 3], [2, 5]]}"
weyl_heisenberg,Weyl-Heisenberg,7,6,3,8,7,8,1e-10,7,7,True,0.033693134369535166,2.0717394963614053,7.000000184959753,61.48847636551859,0.860836788699685,0.08588006120356818,0.7410399767787862,307006,607006,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[1, 4], [6, 3], [7, 2], [3, 1], [3, 7], [5, 5], [7, 3]]}"
weyl_heisenberg,Weyl-Heisenberg,7,7,3,8,7,8,1e-10,7,7,True,0.013005692256187987,3.000612425971064,7.000000871923569,230.71531809799671,0.743000503503717,0.17025006931479553,0.5520497482067771,307007,607007,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[0, 4], [6, 7], [1, 7], [5, 1], [3, 4], [7, 1], [0, 1]]}"
weyl_heisenberg,Weyl-Heisenberg,7,8,3,8,7,8,1e-10,7,7,True,0.14915589713004446,2.3670938634297127,7.000000996988446,15.869931454107483,0.5957690531901046,0.09176251206261533,0.35494076473903374,307008,607008,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[3, 0], [0, 2], [6, 2], [3, 2], [4, 0], [4, 2], [7, 6]]}"
weyl_heisenberg,Weyl-Heisenberg,7,9,3,8,7,8,1e-10,7,7,True,0.014773462374885771,2.828869416040196,7.000000167664096,191.48317058356938,0.8410377896709417,0.1751264492155348,0.7073445636545831,307009,607009,,,,,fiducial_state_then_unique_weyl_orbit,"seed_from_angles -> Weyl(a,b) -> simple_scrambler","RY/RZ seed rotations, CNOT chain, CZ ring, QFT-based X_d, RZ-based Z_d","{""labels_ab"": [[2, 6], [5, 0], [5, 7], [2, 2], [2, 7], [3, 1], [3, 7]]}"
